# UltraFIBU - Kontenrahmen SKR04 (vollstaendig)
#
# Erzeugt aus dem DATEV-Kontenrahmen-PDF (BilRUG-Fassung, Stand 2026) mit
# Apps/UltraFIBU/tools/skr-pdf-extrahieren.py. Spaltenbedeutung nach der
# Legende des PDF:
#
#   bilanz_position      Fussnote 2) Bilanz- und GuV-Posten, grosse
#                        Kapitalgesellschaften, Gesamtkostenverfahren
#   funktion             KU/V/M Zusatzfunktion ueber einer Kontenklasse,
#                        AV/AM/S/F/R Hauptfunktion vor einem Konto, auch
#                        kombiniert (S/AV). AV und AM sind die
#                        DATEV-AUTOMATIKKONTEN.
#   abschlusszweck       HB Handelsbilanz, SB Steuerbilanz, EUeR
#   programmverbindung   U Umsatzsteuer, G Gewerbesteuer, K Koerperschaft
#   nummer_bis           gesetzt, wenn die Zeile einen Kontenbereich meint
#                        (im PDF als "0040-42" gedruckt). Solche Zeilen haben
#                        keine eigene Beschriftung; hier steht dann ihr
#                        Bilanz-Posten.
#
# STEUERSCHLUESSEL: uebernommen aus der bisherigen, handgepflegten Datei
# (0 Konten). Das PDF nennt die Automatikfunktion (AM/AV), nicht den
# Steuersatz - den aus einer Kontenbezeichnung zu lesen waere geraten. Wer
# weitere Schluessel setzt, prueft sie gegen die Steuerschluessel-Tabelle der
# Kanzlei.
#
# typ: fuer Konten ohne alten Eintrag aus der fuehrenden Ziffer abgeleitet -
# eine grobe Einordnung fuer die Auswertungen, keine Aussage des PDF.
#
nummer;bezeichnung;typ;steuerschluessel;euer_zeile;bwa_position;bilanz_position;funktion;abschlusszweck;programmverbindung;nummer_bis
0140;Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werten;aktiv;;;;Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten;;;;
0143;Selbst geschaffene immaterielle Vermögensgegenstände;aktiv;;;;Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte und Werte;;HB;;
0144;EDV-Software;aktiv;;;;Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte und Werte;;HB;;
0145;Lizenzen und Franchiseverträge;aktiv;;;;Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte und Werte;;HB;;
0146;Konzessionen und gewerbliche Schutzrechte;aktiv;;;;Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte und Werte;;HB;;
0147;Rezepte, Verfahren, Prototypen;aktiv;;;;Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte und Werte;;HB;;
0148;Immaterielle Vermögensgegenstände in Entwicklung;aktiv;;;;In der Entwicklung befindliche immaterielle Vermögensgegenstände;;HB;;
0150;Geschäfts- oder Firmenwert;aktiv;;;;Geschäfts- oder Firmenwert;;;;
0160;Geschäfts- oder Firmenwert;aktiv;;;;Geschäfts- oder Firmenwert;R;;;0169
0170;Geleistete Anzahlungen auf immaterielle Vermögensgegenstände;aktiv;;;;Geleistete Anzahlungen;;;;
0179;Anzahlungen auf Geschäfts- oder Firmenwert Eigenformular, Nachdruck - auch;aktiv;;;;Geleistete Anzahlungen;;;;
0200;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0210;Grundstücksgleiche Rechte ohne Bauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0215;Unbebaute Grundstücke;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0220;Grundstücksgleiche Rechte (Erbbaurecht, Dauerwohnrecht, unbebaute Grundstücke);aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0225;Grundstücke mit Substanzverzehr;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0229;Grundstücksanteil des häuslichen Arbeitszimmers;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0230;Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0235;Grundstückswerte eigener bebauter Grundstücke;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0240;Geschäftsbauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0250;Fabrikbauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0260;Andere Bauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0270;Garagen;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0280;Außenanlagen für Geschäfts-, Fabrik- und andere Bauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0285;Hof- und Wegebefestigungen;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0290;Einrichtungen für Geschäfts-, Fabrik- und andere Bauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0300;Wohnbauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0305;Garagen;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0310;Außenanlagen;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0315;Hof- und Wegebefestigungen;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0320;Einrichtungen für Wohnbauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0329;Gebäudeteil des häuslichen Arbeitszimmers;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0330;Bauten auf fremden Grundstücken;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0340;Geschäftsbauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0350;Fabrikbauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0360;Wohnbauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0370;Andere Bauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0380;Garagen;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0390;Außenanlagen;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0395;Hof- und Wegebefestigungen;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0398;Einrichtungen für Geschäfts-, Fabrik-, Wohn- und andere Bauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0400;Technische Anlagen und Maschinen;aktiv;;;;Technische Anlagen und Maschinen;;;;
0420;Technische Anlagen;aktiv;;;;Technische Anlagen und Maschinen;;;;
0440;Maschinen;aktiv;;;;Technische Anlagen und Maschinen;;;;
0450;Transportanlagen und Ähnliches;aktiv;;;;Technische Anlagen und Maschinen;;;;
0460;Maschinengebundene Werkzeuge;aktiv;;;;Technische Anlagen und Maschinen;;;;
0470;Betriebsvorrichtungen;aktiv;;;;Technische Anlagen und Maschinen;;;;
0500;Andere Anlagen, Betriebs- und Geschäftsausstattung;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0510;Andere Anlagen;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0520;Pkw;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0540;Lkw;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0560;Sonstige Transportmittel;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0620;Werkzeuge;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0630;Betriebsausstattung;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0635;Geschäftsausstattung;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0640;Ladeneinrichtung;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0650;Büroeinrichtung;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0660;Gerüst- und Schalungsmaterial;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0670;Geringwertige Wirtschaftsgüter;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0675;Wirtschaftsgüter (Sammelposten);aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0680;Einbauten in fremde Grundstücke;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0690;Sonstige Betriebs- und Geschäftsausstattung Seite;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0700;Geleistete Anzahlungen und Anlagen im Bau;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0705;Anzahlungen auf Grund und Boden;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0710;Geschäfts-, Fabrik- und andere Bauten im Bau auf eigenen Grundstücken;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0720;Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf eigenen Grundstücken;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0725;Wohnbauten im Bau auf eigenen Grundstücken;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0735;Anzahlungen auf Wohnbauten auf eigenen Grundstücken;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0740;Geschäfts-, Fabrik- und andere Bauten im Bau auf fremden Grundstücken;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0750;Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf fremden Grundstücken;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0755;Wohnbauten im Bau auf fremden Grundstücken;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0765;Anzahlungen auf Wohnbauten auf fremden Grundstücken;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0770;Technische Anlagen und Maschinen im Bau;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0780;Anzahlungen auf technische Anlagen und Maschinen;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0785;Andere Anlagen, Betriebs- und Geschäftsausstattung im Bau;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0795;Anzahlungen auf andere Anlagen, Betriebs- und Geschäftsausstattung Finanzanlagen;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0800;Anteile an verbundenen Unternehmen (Anlagevermögen);aktiv;;;;Anteile an verbundenen Unternehmen;;;;
0803;Anteile an verbundenen Unternehmen, Personengesellschaften;aktiv;;;;Anteile an verbundenen Unternehmen;;;;
0804;Anteile an verbundenen Unternehmen, Kapitalgesellschaften;aktiv;;;;Anteile an verbundenen Unternehmen;;;;
0805;Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Personengesellschaften;aktiv;;;;Anteile an verbundenen Unternehmen;;;;
0806;Anteile einer GmbH &amp, Co. KG an einer Komplementär-GmbH;aktiv;;;;Anteile an verbundenen Unternehmen;;;;
0808;Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Kapitalgesellschaften;aktiv;;;;Anteile an verbundenen Unternehmen;;;;
0809;Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft;aktiv;;;;Anteile an verbundenen Unternehmen;;;;
0810;Ausleihungen an verbundene Unternehmen;aktiv;;;;Ausleihungen an verbundene Unternehmen;;;;
0813;Ausleihungen an verbundene Unternehmen, Personengesellschaften;aktiv;;;;Ausleihungen an verbundene Unternehmen;;;;
0814;Ausleihungen an verbundene Unternehmen, Kapitalgesellschaften;aktiv;;;;Ausleihungen an verbundene Unternehmen;;;;
0815;Ausleihungen an verbundene Unternehmen, Einzelunternehmen;aktiv;;;;Ausleihungen an verbundene Unternehmen;;;;
0820;Beteiligungen;aktiv;;;;Beteiligungen;;;;
0829;Beteiligung einer GmbH &amp, Co. KG an einer Komplementär-GmbH;aktiv;;;;Beteiligungen;;;;
0830;Typisch stille Beteiligungen;aktiv;;;;Beteiligungen;;;;
0840;Atypisch stille Beteiligungen;aktiv;;;;Beteiligungen;;;;
0850;Beteiligungen an Kapitalgesellschaften;aktiv;;;;Beteiligungen;;;;
0860;Beteiligungen an Personengesellschaften;aktiv;;;;Beteiligungen;;;;
0880;Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht;aktiv;;;;Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht;;;;
0883;Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht, Personengesellschaften;aktiv;;;;Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht;;;;
0885;Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht, Kapitalgesellschaften;aktiv;;;;Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht;;;;
0900;Wertpapiere des Anlagevermögens;aktiv;;;;Wertpapiere des Anlagevermögens;;;;
0910;Wertpapiere mit Gewinnbeteiligungsansprüchen, die dem Teileinkünfteverfahren unterliegen;aktiv;;;;Wertpapiere des Anlagevermögens;;;;
0920;Festverzinsliche Wertpapiere;aktiv;;;;Wertpapiere des Anlagevermögens;;;;
0930;Übrige sonstige Ausleihungen;aktiv;;;;Sonstige Ausleihungen;;;;
0940;Darlehen;aktiv;;;;Sonstige Ausleihungen;;;;
0960;Ausleihungen an Gesellschafter;aktiv;;;;Ausleihungen an Gesellschafter;;;;
0961;Ausleihungen an GmbH-Gesellschafter;aktiv;;;;Ausleihungen an Gesellschafter;;;;
0962;Ausleihungen an persönlich haftende Gesellschafter;aktiv;;;;Ausleihungen an Gesellschafter;;;;
0963;Ausleihungen an Kommanditisten;aktiv;;;;Ausleihungen an Gesellschafter;;;;
0964;Ausleihungen an Gesellschafter;aktiv;;;;Ausleihungen an Gesellschafter;R;;;0969
0970;Ausleihungen an nahe stehende Personen;aktiv;;;;Sonstige Ausleihungen;;;;
0980;Genossenschaftsanteile zum langfristigen Verbleib;aktiv;;;;Genossenschaftsanteile;;;;
0990;Rückdeckungsansprüche aus Lebensversicherungen zum langfristigen Verbleib Art.-Nr. 11175 2026-01-01;aktiv;;;;Rückdeckungsansprüche aus Lebensversicherungen;;;;
1000;Roh-, Hilfs- und Betriebsstoffe (Bestand);aktiv;;;;Roh-, Hilfs- und Betriebsstoffe;KU;;;1039
1040;Unfertige Erzeugnisse, unfertige Leistungen (Bestand);aktiv;;;;Unfertige Erzeugnisse, unfertige Leistungen;KU;;;1049
1050;Unfertige Erzeugnisse (Bestand);aktiv;;;;Unfertige Erzeugnisse, unfertige Leistungen;KU;;;1079
1080;Unfertige Leistungen (Bestand);aktiv;;;;Unfertige Erzeugnisse, unfertige Leistungen;KU;;;1089
1090;In Ausführung befindliche Bauaufträge;aktiv;;;;In Ausführung befindliche Bauaufträge;KU;;;1094
1095;In Arbeit befindliche Aufträge;aktiv;;;;In Arbeit befindliche Aufträge;KU;;;1099
1100;Fertige Erzeugnisse und Waren (Bestand);aktiv;;;;Fertige Erzeugnisse und Waren;KU;;;1109
1110;Fertige Erzeugnisse (Bestand);aktiv;;;;Fertige Erzeugnisse und Waren;KU;;;1139
1140;Waren (Bestand);aktiv;;;;Fertige Erzeugnisse und Waren;KU;;;1179
1180;Geleistete Anzahlungen auf Vorräte;aktiv;;;;Geleistete Anzahlungen;V;;;
1181;Geleistete Anzahlungen 7 % Vorsteuer;aktiv;;;;Geleistete Anzahlungen;AV;;;
1182;Geleistete Anzahlungen, 5 % Vorsteuer;aktiv;;;;Geleistete Anzahlungen;AV;;;
1183;Geleistete Anzahlungen;aktiv;;;;Geleistete Anzahlungen;R;;;
1184;Geleistete Anzahlungen, 16 % Vorsteuer;aktiv;;;;Geleistete Anzahlungen;AV;;;
1185;Geleistete Anzahlungen;aktiv;;;;Geleistete Anzahlungen;R;;;
1186;Geleistete Anzahlungen 19 % Vorsteuer;aktiv;;;;Geleistete Anzahlungen;AV;;;
1190;Erhaltene Anzahlungen auf Bestellungen (von Vorräten offen abgesetzt) Forderungen und sonstige Vermögensgegenstände;aktiv;;;;Erhaltene Anzahlungen auf Bestellungen (von Vorräten offen abgesetzt);M;;;
1200;Forderungen aus Lieferungen und Leistungen;aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;S;;;
1201;Forderungen aus Lieferungen und Leistungen;aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;R;;;1206
1210;Forderungen aus Lieferungen und Leistungen ohne Kontokorrent;aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;;;1214
1215;Forderungen aus Lieferungen und Leistungen zum allgemeinen Umsatzsteuersatz oder eines Kleinunternehmers (EÜR);aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;EÜR;;
1216;Forderungen aus Lieferungen und Leistungen zum ermäßigten Umsatzsteuersatz (EÜR);aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;EÜR;;
1217;Forderungen aus steuerfreien oder nicht steuerbaren Lieferungen und Leistungen (EÜR);aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;EÜR;;
1218;Forderungen aus Lieferungen und Leistungen nach Durchschnittssätzen nach § 24 UStG (EÜR);aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;EÜR;;
1219;Gegenkonto 1215-1218 bei Aufteilung der Forderungen nach Steuersätzen (EÜR);aktiv;;;;;F;EÜR;;
1220;Forderungen nach § 11 Abs. 1 Satz 2 EStG für § 4 Abs. 3 EStG;aktiv;;;;;F;EÜR;;
1221;Forderungen aus Lieferungen und Leistungen ohne Kontokorrent – Restlaufzeit bis 1 Jahr;aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;;;
1225;– Restlaufzeit größer 1 Jahr;aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;;;
1230;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;R;;;1239
1240;Zweifelhafte Forderungen;aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;;;
1241;– Restlaufzeit bis 1 Jahr;aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;;;
1245;– Restlaufzeit größer 1 Jahr;aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;;;
1246;Einzelwertberichtigungen auf Forderungen – Restlaufzeit bis 1 Jahr;aktiv;;;;Forderungen aus Lieferungen und Leistungen H-Saldo;KU;;;
1247;– Restlaufzeit größer 1 Jahr;aktiv;;;;Forderungen aus Lieferungen und Leistungen H-Saldo;KU;;;
1248;Pauschalwertberichtigung auf Forderungen – Restlaufzeit bis 1 Jahr;aktiv;;;;Forderungen aus Lieferungen und Leistungen H-Saldo;KU;;;
1249;– Restlaufzeit größer 1 Jahr;aktiv;;;;Forderungen aus Lieferungen und Leistungen H-Saldo;KU;;;
1250;Forderungen aus Lieferungen und Leistungen gegen Gesellschafter;aktiv;;;;Andere Forderungen gegen Gesellschafter oder Andere Verbindlichkeiten gegenüber Gesellschaftern oder Verbindlichkeiten gegenüber Gesellschaftern oder Sonstige Verbindlichkeiten;F;;;
1251;– Restlaufzeit bis 1 Jahr;aktiv;;;;Andere Forderungen gegen Gesellschafter oder Andere Verbindlichkeiten gegenüber Gesellschaftern oder Verbindlichkeiten gegenüber Gesellschaftern oder Sonstige Verbindlichkeiten;F;;;
1255;– Restlaufzeit größer 1 Jahr;aktiv;;;;Andere Forderungen gegen Gesellschafter oder Andere Verbindlichkeiten gegenüber Gesellschaftern oder Verbindlichkeiten gegenüber Gesellschaftern oder Sonstige Verbindlichkeiten;F;;;
1258;Gegenkonto zu sonstigen Vermögensgegenständen bei Buchungen über Debitorenkonto;aktiv;;;;Forderungen aus Lieferungen und Leistungen H-Saldo;KU;;;
1259;Gegenkonto 1221-1229, 1240-1245,1250-1257, 1270-1279, 1290-1297 bei Aufteilung Debitorenkonto;aktiv;;;;Forderungen aus Lieferungen und Leistungen H-Saldo oder Sonstige Verbindlichkeiten S-Saldo;KU;;;
1260;Forderungen gegen verbundene Unternehmen;aktiv;;;;Forderungen gegen verbundene Unternehmen oder Verbindlichkeiten gegenüber verbundenen Unternehmen;KU;;;
1261;– Restlaufzeit bis 1 Jahr;aktiv;;;;Forderungen gegen verbundene Unternehmen oder Verbindlichkeiten gegenüber verbundenen Unternehmen;KU;;;
1265;– Restlaufzeit größer 1 Jahr;aktiv;;;;Forderungen gegen verbundene Unternehmen oder Verbindlichkeiten gegenüber verbundenen Unternehmen;KU;;;
1266;Forderungen gegen verbundene Unternehmen oder Verbindlichkeiten gegenüber verbundenen Unternehmen;aktiv;;;;Forderungen gegen verbundene Unternehmen oder Verbindlichkeiten gegenüber verbundenen Unternehmen;R;;;1269
1270;Forderungen aus Lieferungen und Leistungen gegen verbundene Unternehmen;aktiv;;;;Forderungen gegen verbundene Unternehmen oder Verbindlichkeiten gegenüber verbundenen Unternehmen;F;;;
1271;– Restlaufzeit bis 1 Jahr;aktiv;;;;Forderungen gegen verbundene Unternehmen oder Verbindlichkeiten gegenüber verbundenen Unternehmen;F;;;
1275;– Restlaufzeit größer 1 Jahr;aktiv;;;;Forderungen gegen verbundene Unternehmen oder Verbindlichkeiten gegenüber verbundenen Unternehmen;F;;;
1276;Wertberichtigungen auf Forderungen gegen verbundene Unternehmen – Restlaufzeit bis 1 Jahr;aktiv;;;;Forderungen gegen verbundene Unternehmen H-Saldo;KU;;;
1277;– Restlaufzeit größer 1 Jahr Seite;aktiv;;;;Forderungen gegen verbundene Unternehmen H-Saldo;KU;;;
